commentText,Label,,,,,,,,,,,,,,,,,Label
شمس مثقفة و جميلة وايد ... و احلام ههههععع ما اقول,P,,,,,,,,,,,,,,,,,P
احلام اني حبيتها اكثر لان  انظلمت كثير من الناس  هي امراه قويه وكبيره في عيونا وليسه محتشم,N,,,,,,,,,,,,,,,,,N
كبرلفك والله دايضحكون عليج,N,,,,,,,,,,,,,,,,,N
والله كلامه صحيح عن شمس,N,,,,,,,,,,,,,,,,,N
ذكرى ما نسيناك وما حد بينسينا صوتك الجميل وطيبتك وقدراتك الغير موجوده في أي بشر رحمك الله,N,,,,,,,,,,,,,,,,,N
الله يرحمك اسمعو صوتها وراح تتئكدون انتي النكره والنشاز إذا جاء اسم ذكرى توقفين احترام وتقدير لها مين قال ان صوتك حلو,P,,,,,,,,,,,,,,,,,P
اسمعي هاذا انت والصدفه ووش إخباري واحذرك وفرصه اخيره وجميع اغانيها اتحداك إذا قدرتي تتقني نص احساسها وصوتها والله يرحم الفن من بعدك ياذكرى,N,,,,,,,,,,,,,,,,,N
حتى الليبي اتقنته,N,,,,,,,,,,,,,,,,,N
غنت لجميع الدوول العربيه,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
احلام   انسانة  فاقدة  توازنههديها ا  تحتاج  الى العلاج    اللة يهديها,P,,,,,,,,,,,,,,,,,P
الحمد لله ماراح تشارك,N,,,,,,,,,,,,,,,,,N
احلام عفويه واعتقد ان قلبها كثير طيب,N,,,,,,,,,,,,,,,,,N
والله فنانات لاشكل ولا منظر ولا صوت بدون  مكياج تقرف تنظر لهم  ولا اى حد عجبهم  لا حول ولا قوة الا بالله,N,,,,,,,,,,,,,,,,,N
اني عراقي وموت بحلام احسن مطربة بل خليجً وكلبهة طيب وعلى نياتهة,N,,,,,,,,,,,,,,,,,N
انى كتير بكرهه,N,,,,,,,,,,,,,,,,,N
ملكة انا بموت فيك وفشخصيتك القوية وفعفويتك ملكة ملكة,N,,,,,,,,,,,,,,,,,N
فيديو حقيقي لاحلام بس ممكن أعرف مين الصحفي اللباني الي كان عم بعلق كلامو دقيق وعم يحكي كناقد مختص,N,,,,,,,,,,,,,,,,,N
والله انتي كل صوت ماعندك وكل ادب واخلاق ماعندك,P,,,,,,,,,,,,,,,,,P
احلا تحيه لاحلام بس الناس مقهورين منها,N,,,,,,,,,,,,,,,,,N
شي ميشبه شي😒,N,,,,,,,,,,,,,,,,,N
سلام اين الادب اين الاخلاق كسيات عريات خشب جهنم ياويلك ياويلك الدنيا فنيا نش دايمة,N,,,,,,,,,,,,,,,,,N
"انتم ليش زعلانين من احلام .... ولا تزعلوا ولا على بالكم ...الله عز وجل قال ...
بسم الله الرحمن الرحيم .. 
ولا يحزنك كفرهم .. صدق الله العظيم
وبعدين بدل الشتايم لاحلام انا باقترح تبعتولها رسائل تذكير بالله.... وبعدين احلام قديش بدها تعيش... يعني بدها تعيش كمان عشرين ثلاثين سنة ... اخريتها بين يدي الله ... وكلٌ آتي الرحمن فردا ... ويا حسرة علّي ظيع عمره في معصية الله",N,,,,,,,,,,,,,,,,,N
هاي ليس فنانة  وناماء  حوانيه,P,,,,,,,,,,,,,,,,,P
لو كانت متعلمه ما كان هذا حالها نقطه لسطر,N,,,,,,,,,,,,,,,,,N
حافضة القران خخخخخخخ,N,,,,,,,,,,,,,,,,,N
البغتابون أحلام ايغارون منها,N,,,,,,,,,,,,,,,,,N
أحلام رووووووووعه بكل شي  احبببببببببببببببببببببك من كل قلبي,N,,,,,,,,,,,,,,,,,N
ملكة جمال الخليج,N,,,,,,,,,,,,,,,,,N
مسكين صاحب القناة مقهور جدا من أحلام ويجمع الفيديوهات  طب ليش هذا الحسد والغيره,N,,,,,,,,,,,,,,,,,N
"بدنا كنتاكي   عاجل 
تكفون ياشباب الي عنده كنتاكي يجيبه         علا كل مطاعم كنتاكي العجله  
ماودنا مشاكل",N,,,,,,,,,,,,,,,,,N
اصلن هو ارب ايدل جيبنه علمود ايضحكون على حجيه,N,,,,,,,,,,,,,,,,,N
والله طاح حضه بهل فديوات,N,,,,,,,,,,,,,,,,,N
احلام ست الكل  ومافي اطيب من قلبا ولو كره الكارهون هي الملكة,N,,,,,,,,,,,,,,,,,N
والله بيناقص منها رايح يتهنا منها البرنامج  ًويكونواحلا.,N,,,,,,,,,,,,,,,,,N
نن يفوز,N,,,,,,,,,,,,,,,,,N
بصراحة اول مره تقول شي صح شمس بتستعرض جسمها مش فنانه,N,,,,,,,,,,,,,,,,,N
هلا يا جمهور كفا كفووووو كفوووووووو حقد و غيره و حسد على احلام اش فيها تبوس اعز، صديقتها عادي جدا تلاعبها كبنوته و الله خبث منكم  تنتهكون حرمتها و لا اروع من احلام  حاقدين عليها لانها ارقا منكم انا راح ادعمها بكل ثروتي,N,,,,,,,,,,,,,,,,,N
اميلها ملكا  هيا سميت نفسها ملكا,N,,,,,,,,,,,,,,,,,N
هاذه كذابه لو حافضه القران ماكان تغني,N,,,,,,,,,,,,,,,,,N
الله يشافيه مريضه,P,,,,,,,,,,,,,,,,,P
احلام ملكه,N,,,,,,,,,,,,,,,,,N
جنهة بومة عابت 😁😁😁😁😁😁😁😁😁😁,P,,,,,,,,,,,,,,,,,P
بلله يامبارك   تحب احلام,N,,,,,,,,,,,,,,,,,N
خبله باينه من تصرفاتها ام الكنتاكي ههههههه,P,,,,,,,,,,,,,,,,,P
نص مقطع كذاب أحلام نسانه محترمه,N,,,,,,,,,,,,,,,,,N
شاركت فوق خشمك,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
فنانت العرب احلام علا عين الحسود😜😜😜,N,,,,,,,,,,,,,,,,,N
بس لان كل حكيها صح انت مدايقين,N,,,,,,,,,,,,,,,,,N
شو ماعندكن شغلة غير احلام الله ياخدكن شعب بموت على التمسخر والشماتة ببعض,N,,,,,,,,,,,,,,,,,N
"مو نمسا بالتركي 
بالتركي اويودو يعني نام 
الترجمة مالتهم غلط اني مترجم تركماني في تركيا من اصل عراقي",N,,,,,,,,,,,,,,,,,N
يلههههههوي حافظة القرأن,N,,,,,,,,,,,,,,,,,N
هههههههههههههههههههههههه خرب حضي,N,,,,,,,,,,,,,,,,,N
بدي اقول للفنانه أحلام على قد مو ناجحه مشغلا بال الكل الكل تارك اشغالو وعم يدور ع شي كلمه يحكيها صح مثل ما قالت مقهورين,N,,,,,,,,,,,,,,,,,N
فعلا مثل ما قالت الفنانه أحلام ما في مطربة اسمها شمس,N,,,,,,,,,,,,,,,,,N
